TIPO DE ELECCIÓN,ÁMBITO,REGIÓN / CONTINENTE,PROVINCIA / PAÍS,DISTRITO / CIUDAD,CENTRO POBLADO,LOCAL DE VOTACIÓN,NÚMERO DE MESA,ESTADO DEL ACTA,TIPO DE OBSERVACIÓN,ELECTORES HÁBILES,FUERZA POPULAR,JUNTOS POR EL PERÚ,VOTOS EN BLANCO,VOTOS NULOS,VOTOS IMPUGNADOS
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000001,Contabilizada,,230,84,82,2,13,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000002,Contabilizada,,230,65,89,0,15,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000003,Contabilizada,,300,108,123,3,16,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000004,Contabilizada,,300,109,111,0,17,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000005,Contabilizada,,300,117,107,0,15,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000006,Contabilizada,,300,109,133,1,12,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000007,Contabilizada,,300,126,102,3,19,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000008,Contabilizada,,300,107,115,2,23,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000009,Contabilizada,,300,92,134,3,20,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000010,Contabilizada,,300,96,122,1,20,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000011,Contabilizada,,300,118,115,2,13,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000012,Contabilizada,,300,121,117,1,12,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18288 ISABEL LYNCH DE RUBIO,000013,Contabilizada,,300,108,117,1,19,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000014,Contabilizada,,230,82,69,6,11,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000015,Contabilizada,,230,73,72,1,15,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000016,Contabilizada,,300,94,121,2,17,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000017,Contabilizada,,300,101,104,2,17,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000018,Contabilizada,,300,100,104,1,18,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000019,Contabilizada,,300,101,105,3,15,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000020,Contabilizada,,300,106,112,4,17,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000021,Contabilizada,,300,118,102,1,24,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000022,Contabilizada,,300,111,96,0,22,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000023,Contabilizada,,300,96,104,0,21,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE VIRGEN ASUNTA,000024,Contabilizada,,300,98,98,1,21,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18022 MARIA AUXILIADORA,000025,Contabilizada,,230,64,75,1,9,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18022 MARIA AUXILIADORA,000026,Contabilizada,,300,87,96,2,7,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18022 MARIA AUXILIADORA,000027,Contabilizada,,300,83,90,2,22,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18022 MARIA AUXILIADORA,000028,Contabilizada,,300,95,87,0,22,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18022 MARIA AUXILIADORA,000029,Contabilizada,,300,80,81,0,29,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18022 MARIA AUXILIADORA,000030,Contabilizada,,300,92,86,1,16,0
PRESIDENCIAL,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,IE 18022 MARIA AUXILIADORA,000031,Contabilizada,,300,81,89,1,12,0
