ambito,region,odpe,total,contabilizadas,jee,no_ingresadas,electores_pendientes,pendientes,pct_contabilizadas
EXTRANJERO,AMERICA,LIMA CENTRO 1,1570,1041,59,470,258942,529,66.30573248407643
PERU,LIMA,LIMA ESTE 1,1650,1466,184,0,54402,184,88.84848484848484
EXTRANJERO,EUROPA,LIMA CENTRO 1,839,752,53,34,41749,87,89.63051251489868
PERU,LIMA,SAN JUAN DE LURIGANCHO,2744,2668,76,0,22443,76,97.23032069970846
PERU,LORETO,ALTO AMAZONAS,561,490,5,66,18350,71,87.34402852049911
PERU,CUSCO,LA CONVENCION,632,573,18,41,15761,59,90.66455696202532
PERU,LIMA,LIMA OESTE 3,1184,1130,54,0,15752,54,95.4391891891892
PERU,LIMA,SAN MARTIN DE PORRES,1798,1750,48,0,14184,48,97.33036707452725
PERU,LIMA,SAN JUAN DE MIRAFLORES,1115,1071,44,0,13156,44,96.05381165919283
PERU,LIMA,CHORRILLOS,1047,1003,44,0,13141,44,95.79751671442216
PERU,LIMA,LIMA NORTE 2,1493,1456,37,0,11063,37,97.52176825184193
PERU,LIMA,LIMA SUR 2,1241,1206,35,0,10455,35,97.17969379532634
PERU,LIMA,LIMA CENTRO 3,1030,995,35,0,10217,35,96.60194174757281
PERU,LIMA,LIMA OESTE 1,830,797,33,0,9844,33,96.02409638554217
EXTRANJERO,ASIA,LIMA CENTRO 1,107,75,2,30,14419,32,70.09345794392523
PERU,UCAYALI,CORONEL PORTILLO,1394,1365,29,0,8560,29,97.91965566714491
PERU,CALLAO,CALLAO,1338,1310,28,0,8350,28,97.90732436472346
PERU,LIMA,LA VICTORIA,833,807,26,0,7775,26,96.87875150060025
PERU,LIMA,VILLA EL SALVADOR,1163,1137,26,0,7774,26,97.76440240756664
PERU,CALLAO,VENTANILLA,975,950,25,0,7241,25,97.43589743589743
PERU,CUSCO,CUSCO,1558,1534,24,0,7147,24,98.45956354300385
PERU,LORETO,MAYNAS,1565,1542,23,0,6674,23,98.53035143769968
PERU,LIMA,LIMA OESTE 2,817,796,21,0,6249,21,97.4296205630355
PERU,CAJAMARCA,CAJAMARCA,1673,1652,21,0,6090,21,98.74476987447699
PERU,LIMA,SANTA ANITA,630,610,20,0,5963,20,96.82539682539682
PERU,LIMA,LIMA NORTE 1,1120,1100,20,0,5929,20,98.21428571428571
PERU,LIMA,LIMA ESTE 2,572,552,20,0,5860,20,96.5034965034965
PERU,ANCASH,SANTA,1362,1342,20,0,5859,20,98.53157121879589
PERU,LIMA,SAN MIGUEL,504,486,18,0,5381,18,96.42857142857143
PERU,LIMA,INDEPENDENCIA,595,577,18,0,5376,18,96.97478991596638
PERU,LA LIBERTAD,TRUJILLO,1446,1428,18,0,5314,18,98.7551867219917
PERU,LIMA,LIMA CENTRO 2,431,413,18,0,5211,18,95.82366589327147
PERU,LIMA,SAN BORJA,420,403,17,0,5082,17,95.95238095238095
PERU,PIURA,CASTILLA,1296,1280,16,0,4770,16,98.76543209876543
PERU,CALLAO,BELLAVISTA,585,569,16,0,4636,16,97.26495726495726
PERU,PIURA,PIURA,884,869,15,0,4411,15,98.30316742081448
PERU,ICA,CHINCHA,1060,1045,15,0,4399,15,98.58490566037736
PERU,LIMA,LIMA NORTE 3,567,553,14,0,4197,14,97.53086419753086
PERU,LIMA,LOS OLIVOS,983,969,14,0,4181,14,98.57578840284842
PERU,JUNIN,CHANCHAMAYO,1026,1012,14,0,4011,14,98.63547758284601
PERU,UCAYALI,ATALAYA,170,156,7,7,3598,14,91.76470588235294
PERU,LIMA,LA MOLINA,571,558,13,0,3887,13,97.72329246935202
PERU,TACNA,TACNA,1041,1028,13,0,3859,13,98.75120076849184
PERU,LIMA,CARABAYLLO,855,842,13,0,3849,13,98.47953216374269
PERU,PIURA,SULLANA,1674,1662,12,0,3570,12,99.2831541218638
PERU,LIMA,PUEBLO LIBRE,337,325,12,0,3449,12,96.43916913946587
PERU,AYACUCHO,HUAMANGA,864,853,11,0,3096,11,98.72685185185185
PERU,LORETO,REQUENA,191,180,2,9,2758,11,94.24083769633508
PERU,LAMBAYEQUE,CHICLAYO,1458,1448,10,0,2983,10,99.31412894375858
PERU,LIMA,LIMA SUR 1,796,786,10,0,2931,10,98.74371859296483
PERU,ANCASH,HUARI,456,446,10,0,2866,10,97.80701754385964
PERU,HUANUCO,HUANUCO,1198,1188,10,0,2682,10,99.1652754590985
PERU,LIMA,HUAURA,1148,1139,9,0,2699,9,99.21602787456446
PERU,PUNO,SAN ROMAN,1118,1109,9,0,2690,9,99.19499105545617
