ambito,region,total,contabilizadas,jee,no_ingresadas,electores_pendientes,pendientes,pct_contabilizadas
PERU,LIMA,29247,28332,915,0,270766,915,96.87147399733306
EXTRANJERO,AMERICA,1570,1041,59,470,258942,529,66.30573248407643
PERU,LORETO,2697,2589,33,75,28673,108,95.99555061179088
PERU,CUSCO,3983,3890,52,41,25844,93,97.66507657544564
EXTRANJERO,EUROPA,839,752,53,34,41749,87,89.63051251489868
PERU,CALLAO,2898,2829,69,0,20227,69,97.61904761904762
PERU,PIURA,5281,5224,57,0,16788,57,98.92065896610491
PERU,ANCASH,3472,3427,45,0,12729,45,98.70391705069125
PERU,UCAYALI,1564,1521,36,7,12158,43,97.25063938618926
PERU,LA LIBERTAD,5302,5265,37,0,10845,37,99.30215013202564
EXTRANJERO,ASIA,107,75,2,30,14419,32,70.09345794392523
PERU,JUNIN,3691,3659,32,0,9175,32,99.13302628014088
PERU,AREQUIPA,4215,4189,26,0,7478,26,99.38315539739027
PERU,CAJAMARCA,4240,4215,25,0,7137,25,99.41037735849056
PERU,PUNO,3397,3373,24,0,6953,24,99.29349425964087
PERU,ICA,2443,2421,22,0,6479,22,99.09946786737618
PERU,HUANUCO,2341,2321,20,0,5545,20,99.1456642460487
PERU,AYACUCHO,1900,1885,15,0,4048,15,99.21052631578948
PERU,SAN MARTIN,2534,2520,14,0,3994,14,99.4475138121547
PERU,PASCO,802,788,14,0,3970,14,98.25436408977556
PERU,LAMBAYEQUE,3590,3577,13,0,3883,13,99.63788300835654
PERU,TACNA,1041,1028,13,0,3859,13,98.75120076849184
PERU,HUANCAVELICA,1273,1262,11,0,2942,11,99.13589945011783
PERU,APURIMAC,1317,1307,10,0,2673,10,99.24069855732726
PERU,MADRE DE DIOS,507,502,5,0,1395,5,99.0138067061144
PERU,AMAZONAS,1278,1275,3,0,694,3,99.76525821596245
PERU,TUMBES,632,630,2,0,590,2,99.68354430379746
PERU,MOQUEGUA,578,576,2,0,588,2,99.65397923875433
EXTRANJERO,OCEANIA,21,20,1,0,467,1,95.23809523809524
EXTRANJERO,AFRICA,6,5,0,1,59,1,83.33333333333333
