mesa,electores,region,provincia,distrito,odpe,local,ambito,estado,fp,jp,valid,blancos,nulos,impugnados,contada,p_fp,valid_rate,valid_proyectados,fp_proyectados,jp_proyectados
000150,260,AMAZONAS,CHACHAPOYAS,QUINJALCA,CHACHAPOYAS,IE 18068,PERU,PARA ENVIO AL JEE,50.0,83.0,133.0,1.0,5.0,1.0,False,0.3982777171335296,0.5971806408733698,155.26696662707613,61.83937301447981,93.42759361259633
000213,230,AMAZONAS,BAGUA,COPALLIN,BAGUA,IE SAGRADO CORAZON DE JESUS,PERU,PARA ENVIO AL JEE,40.0,95.0,135.0,1.0,10.0,0.0,False,0.3173083071285395,0.6331759409878519,145.63046642720593,46.20975676835632,99.4207096588496
000465,204,AMAZONAS,LUYA,COCABAMBA,CHACHAPOYAS,IE VIRGEN DEL ROSARIO,PERU,PARA ENVIO AL JEE,11.0,31.0,42.0,1.0,1.0,0.0,False,0.381913571338685,0.48168671581273564,98.26409002579807,37.528389556098595,60.735700469699474
001236,300,ANCASH,HUARAZ,INDEPENDENCIA,HUARAZ,IE SABIO ANTONIO RAIMONDI,PERU,PARA ENVIO AL JEE,92.0,125.0,217.0,1.0,10.0,1.0,False,0.3996918368858155,0.7309014444253257,219.27043332759771,87.64060227145627,131.62983105614143
001254,300,ANCASH,HUARAZ,INDEPENDENCIA,HUARAZ,IE GRAN UNIDAD ESCOLAR MARISCAL TORIBIO DE LUZURIAGA,PERU,PARA ENVIO AL JEE,75.0,141.0,216.0,1.0,17.0,0.0,False,0.3996918368858155,0.7309014444253257,219.27043332759771,87.64060227145627,131.62983105614143
001287,296,ANCASH,HUARAZ,INDEPENDENCIA,HUARAZ,UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO,PERU,PARA ENVIO AL JEE,83.0,114.0,197.0,3.0,9.0,0.0,False,0.3996918368858155,0.7309014444253257,216.3468275498964,86.47206090783685,129.87476664205957
001295,271,ANCASH,HUARAZ,INDEPENDENCIA,HUARAZ,IESTP ELEAZAR GUZMAN BARRON,PERU,PARA ENVIO AL JEE,52.0,124.0,176.0,3.0,12.0,0.0,False,0.3996918368858155,0.7309014444253257,198.07429143926325,79.16867738521549,118.90561405404776
001532,230,ANCASH,CARHUAZ,CARHUAZ,HUARAZ,IE 86269 MARIA AUXILIADORA,PERU,PARA ENVIO AL JEE,54.0,85.0,139.0,6.0,24.0,0.0,False,0.31242769928151537,0.7035812251033828,161.82368177377805,50.55820058584557,111.26548118793248
001590,271,ANCASH,CARHUAZ,ATAQUERO,HUARAZ,IE 86287 PEDRO COCHACHIN,PERU,PARA ENVIO AL JEE,60.0,105.0,165.0,1.0,3.0,0.0,False,0.36266176675049455,0.6769209161767099,183.44556828388838,66.52869389638344,116.91687438750493
900337,216,ANCASH,CARHUAZ,YUNGAR,HUARAZ,IE 86283 SAN MARTIN DE PORRAS,PERU,PARA ENVIO AL JEE,87.0,94.0,181.0,1.0,6.0,0.0,False,0.4139214007482184,0.7270026797367338,157.03257882313451,64.99914498957686,92.03343383355765
001735,226,ANCASH,CASMA,CASMA,HUARMEY,IE 88100 INMACULADA CONCEPCION,PERU,PARA ENVIO AL JEE,94.0,55.0,149.0,3.0,9.0,0.0,False,0.5960773153290558,0.7170874303419001,162.06175925726944,96.60133837557693,65.46042088169251
001766,282,ANCASH,CASMA,COMANDANTE NOEL,HUARMEY,IE 88105 JUAN NOEL LASTRA,PERU,PARA ENVIO AL JEE,131.0,92.0,223.0,3.0,13.0,0.0,False,0.5585592395452968,0.7426582480009927,209.42962593627993,116.9788526012245,92.45077333505543
001960,300,ANCASH,HUARI,HUARI,HUARI,IE MANUEL GONZALES PRADA,PERU,PARA ENVIO AL JEE,35.0,121.0,156.0,6.0,10.0,2.0,False,0.2600220819389521,0.5579370583188855,167.38111749566565,43.52278664849134,123.8583308471743
001971,297,ANCASH,HUARI,HUARI,HUARI,IE 86323 VIRGEN DE FATIMA,PERU,PARA ENVIO AL JEE,45.0,128.0,173.0,2.0,11.0,0.0,False,0.2600220819389521,0.5579370583188855,165.707306320709,43.08755878200643,122.61974753870257
002031,291,ANCASH,HUARI,HUACACHI,HUARI,IE SAN JERONIMO,PERU,PARA ENVIO AL JEE,18.0,88.0,106.0,3.0,6.0,0.0,False,0.21326749433122263,0.42505818845908205,123.69193284159287,26.379468586112377,97.31246425548049
002043,300,ANCASH,HUARI,HUACHIS,HUARI,IE 86354 SARITA COLONIA,PERU,PARA ENVIO AL JEE,32.0,99.0,131.0,0.0,0.0,0.0,False,0.2867503097667516,0.4455385330680585,133.66155992041755,38.32749371108696,95.33406620933059
900360,209,ANCASH,HUARI,PAUCAS,HUARI,IE 86366,PERU,PARA ENVIO AL JEE,22.0,79.0,101.0,1.0,3.0,0.0,False,0.25987557105950226,0.45513712659851013,95.12365945908861,24.72031532320028,70.40334413588833
002128,295,ANCASH,HUARI,SAN MARCOS,HUARI,IE PACHACUTEC,PERU,PARA ENVIO AL JEE,43.0,84.0,127.0,3.0,8.0,2.0,False,0.3049262736274602,0.46804601164899456,138.0735734364534,42.10226023440521,95.97131320204818
002196,300,ANCASH,HUARI,SAN MARCOS,HUARI,IE REPUBLICA DE CANADA,PERU,PARA ENVIO AL JEE,27.0,56.0,83.0,0.0,0.0,0.0,False,0.3049262736274602,0.46804601164899456,140.41380349469836,42.815857865496824,97.59794562920153
002148,300,ANCASH,HUARI,SAN MARCOS,HUARI,IE 86380,PERU,PARA ENVIO AL JEE,56.0,130.0,186.0,2.0,8.0,0.0,False,0.3049262736274602,0.46804601164899456,140.41380349469836,42.815857865496824,97.59794562920153
002224,248,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,POMABAMBA,IE 84025 CESAR EGUZQUIZA DURAND,PERU,PARA ENVIO AL JEE,21.0,115.0,136.0,4.0,12.0,0.0,False,0.22087217086055141,0.5667117182916576,140.54450613633108,31.042370172855534,109.50213596347555
002315,267,ANCASH,PALLASCA,PALLASCA,SANTA,IE 88155 SAN JUAN BAUTISTA,PERU,PARA ENVIO AL JEE,42.0,101.0,143.0,3.0,13.0,0.0,False,0.31626602566111967,0.5771593386176956,154.10154341092473,48.737082682817665,105.36446072810708
002316,266,ANCASH,PALLASCA,PALLASCA,SANTA,IE 88155 SAN JUAN BAUTISTA,PERU,PARA ENVIO AL JEE,46.0,83.0,129.0,1.0,7.0,0.0,False,0.31626602566111967,0.5771593386176956,153.52438407230704,48.55454679261985,104.9698372796872
002410,210,ANCASH,RECUAY,COTAPARACO,RECUAY,IE 86574 SAN PABLO,PERU,PARA ENVIO AL JEE,46.0,81.0,127.0,0.0,2.0,0.0,False,0.34843489495672914,0.6310336981782081,132.5170766174237,46.17357367116485,86.34350294625884
