ambito,region,odpe,actas_pendientes,electores_pendientes,validos_proyectados,fp_proyectados,jp_proyectados,margen_proyectado_fp
EXTRANJERO,AMERICA,LIMA CENTRO 1,529,258942,71451.36517070317,46095.07270821595,25356.292462487218,20738.780245728733
PERU,LIMA,LIMA ESTE 1,184,54402,40582.404539225136,22585.16310104481,17997.24143818033,4587.921662864483
EXTRANJERO,EUROPA,LIMA CENTRO 1,87,41749,11975.711667342035,6665.012869279863,5310.698798062173,1354.3140712176892
PERU,LIMA,SAN JUAN DE LURIGANCHO,76,22443,16983.00649621524,9966.274830237238,7016.731665978004,2949.543164259235
PERU,LORETO,ALTO AMAZONAS,71,18350,8428.304842259711,2937.432847205314,5490.871995054396,-2553.4391478490825
PERU,CUSCO,LA CONVENCION,59,15761,9258.175585663825,1822.9140604508245,7435.261525213,-5612.347464762175
PERU,LIMA,LIMA OESTE 3,54,15752,11481.881713889134,9051.943152384396,2429.938561504737,6622.004590879658
EXTRANJERO,ASIA,LIMA CENTRO 1,32,14419,2952.4106477782625,2460.0360605304477,492.37458724781465,1967.661473282633
PERU,LIMA,SAN MARTIN DE PORRES,48,14184,10477.546148373198,6766.129598384088,3711.41654998911,3054.713048394978
PERU,LIMA,SAN JUAN DE MIRAFLORES,44,13156,9892.155342734997,6284.4996035135755,3607.655739221421,2676.8438642921546
PERU,LIMA,CHORRILLOS,44,13141,9891.99222741441,6964.415613247045,2927.576614167364,4036.8389990796813
PERU,LIMA,LIMA NORTE 2,37,11063,8200.442303031945,5109.446166372232,3090.9961366597126,2018.4500297125196
PERU,LIMA,LIMA SUR 2,35,10455,7824.246633379899,4904.016267512324,2920.2303658675755,1983.7859016447483
PERU,LIMA,LIMA CENTRO 3,35,10217,7307.553461528838,4863.389362883214,2444.1640986456246,2419.2252642375893
PERU,LIMA,LIMA OESTE 1,33,9844,7126.354865792602,5318.801546747761,1807.5533190448416,3511.2482277029194
PERU,UCAYALI,CORONEL PORTILLO,29,8560,5301.416858349469,2845.3913116551284,2456.0255466943413,389.36576496078715
PERU,CALLAO,CALLAO,28,8350,5973.955458884042,4059.857527621393,1914.097931262649,2145.7595963587437
PERU,LIMA,LA VICTORIA,26,7775,5675.2989412003635,3916.6007865360098,1758.6981546643535,2157.902631871656
PERU,LIMA,VILLA EL SALVADOR,26,7774,5977.773132811282,3783.880329343109,2193.8928034681735,1589.9875258749357
PERU,CALLAO,VENTANILLA,25,7241,5159.645348508988,2985.8468686342335,2173.7984798747543,812.0483887594792
PERU,CUSCO,CUSCO,24,7147,5185.997231452314,1675.2973016072601,3510.699929845054,-1835.402628237794
PERU,LORETO,MAYNAS,23,6674,3707.180419335194,2149.11819504523,1558.0622242899642,591.0559707552659
PERU,LIMA,LIMA OESTE 2,21,6249,4388.774161577207,3463.960412245835,924.813749331372,2539.146662914463
PERU,CAJAMARCA,CAJAMARCA,21,6090,3798.151980022769,1499.1244050562777,2299.027574966491,-799.9031699102134
PERU,LIMA,SANTA ANITA,20,5963,4592.360527596407,2688.883394817157,1903.47713277925,785.4062620379068
PERU,LIMA,LIMA NORTE 1,20,5929,4397.803121818065,2485.1997533595745,1912.6033684584904,572.5963849010841
PERU,LIMA,LIMA ESTE 2,20,5860,4409.8708887884695,2750.497440277036,1659.3734485114335,1091.1239917656023
PERU,ANCASH,SANTA,20,5859,4009.974391959022,1912.218933465556,2097.755458493466,-185.5365250279101
