eleccion,region_continente,provincia_pais,distrito_ciudad,local_de_votacion,numero_de_mesa,mesa_key
Presidencial segunda vuelta,CAJAMARCA,JAEN,JAEN,IE 16042 FRANCISCO BOLOGNESI,013701,CAJAMARCA | JAEN | JAEN | IE 16042 FRANCISCO BOLOGNESI | 013701
Presidencial segunda vuelta,CAJAMARCA,JAEN,JAEN,IE 16042 FRANCISCO BOLOGNESI,013702,CAJAMARCA | JAEN | JAEN | IE 16042 FRANCISCO BOLOGNESI | 013702
Presidencial segunda vuelta,CAJAMARCA,JAEN,JAEN,IE 16042 FRANCISCO BOLOGNESI,013703,CAJAMARCA | JAEN | JAEN | IE 16042 FRANCISCO BOLOGNESI | 013703
Presidencial segunda vuelta,CAJAMARCA,JAEN,JAEN,IE 16042 FRANCISCO BOLOGNESI,013704,CAJAMARCA | JAEN | JAEN | IE 16042 FRANCISCO BOLOGNESI | 013704
Presidencial segunda vuelta,CAJAMARCA,JAEN,JAEN,IE 16042 FRANCISCO BOLOGNESI,013705,CAJAMARCA | JAEN | JAEN | IE 16042 FRANCISCO BOLOGNESI | 013705
Presidencial segunda vuelta,CAJAMARCA,JAEN,JAEN,IE 16042 FRANCISCO BOLOGNESI,013706,CAJAMARCA | JAEN | JAEN | IE 16042 FRANCISCO BOLOGNESI | 013706
Presidencial segunda vuelta,CAJAMARCA,JAEN,JAEN,IE 16042 FRANCISCO BOLOGNESI,013707,CAJAMARCA | JAEN | JAEN | IE 16042 FRANCISCO BOLOGNESI | 013707
Presidencial segunda vuelta,CAJAMARCA,JAEN,JAEN,IE 16042 FRANCISCO BOLOGNESI,013708,CAJAMARCA | JAEN | JAEN | IE 16042 FRANCISCO BOLOGNESI | 013708
Presidencial segunda vuelta,CAJAMARCA,JAEN,JAEN,IE 16042 FRANCISCO BOLOGNESI,013709,CAJAMARCA | JAEN | JAEN | IE 16042 FRANCISCO BOLOGNESI | 013709
Presidencial segunda vuelta,JUNIN,HUANCAYO,PILCOMAYO,IE 30117 SAN JUAN BAUTISTA,025270,JUNIN | HUANCAYO | PILCOMAYO | IE 30117 SAN JUAN BAUTISTA | 025270
Presidencial segunda vuelta,JUNIN,HUANCAYO,PILCOMAYO,IE 30117 SAN JUAN BAUTISTA,025271,JUNIN | HUANCAYO | PILCOMAYO | IE 30117 SAN JUAN BAUTISTA | 025271
Presidencial segunda vuelta,JUNIN,HUANCAYO,PILCOMAYO,IE 30117 SAN JUAN BAUTISTA,025272,JUNIN | HUANCAYO | PILCOMAYO | IE 30117 SAN JUAN BAUTISTA | 025272
Presidencial segunda vuelta,JUNIN,HUANCAYO,PILCOMAYO,IE 30117 SAN JUAN BAUTISTA,025273,JUNIN | HUANCAYO | PILCOMAYO | IE 30117 SAN JUAN BAUTISTA | 025273
Presidencial segunda vuelta,JUNIN,HUANCAYO,PILCOMAYO,IE 30117 SAN JUAN BAUTISTA,025274,JUNIN | HUANCAYO | PILCOMAYO | IE 30117 SAN JUAN BAUTISTA | 025274
Presidencial segunda vuelta,JUNIN,HUANCAYO,PILCOMAYO,IE 30117 SAN JUAN BAUTISTA,025275,JUNIN | HUANCAYO | PILCOMAYO | IE 30117 SAN JUAN BAUTISTA | 025275
