eleccion,departameto,mesas_procesadas,mesas_contabilizadas,mesas_al_jee,mesas_totales,electores_procesados,electores_contabilizados,electores_al_jee,electores_totales,pct_mesas,pct_mesas_contabilizadas,pct_mesas_al_jee,pct_electores,pct_electores_contabilizados,electores_por_contabilizar,pct_electores_por_contabilizar
Presidencial segunda vuelta,AMAZONAS,1278,1275,3,1278,345245,344551,694,345245,1,0.9976525821596244,0.002347417840375587,1,0.9979898333067821,694,0.0020101666932178597
Presidencial segunda vuelta,ANCASH,3472,3427,45,3472,971385,958656,12729,971385,1,0.9870391705069125,0.012960829493087557,1,0.9868960298954585,12729,0.013103970104541453
Presidencial segunda vuelta,APURIMAC,1317,1307,10,1317,361338,358665,2673,361338,1,0.9924069855732726,0.007593014426727411,1,0.9926024940637298,2673,0.0073975059362701955
Presidencial segunda vuelta,AREQUIPA,4215,4189,26,4215,1226525,1219047,7478,1226525,1,0.9938315539739028,0.006168446026097271,1,0.9939031002221724,7478,0.006096899777827602
Presidencial segunda vuelta,AYACUCHO,1900,1885,15,1900,520238,516190,4048,520238,1,0.9921052631578947,0.007894736842105263,1,0.9922189459439718,4048,0.007781054056028203
Presidencial segunda vuelta,HUANCAVELICA,1273,1262,11,1273,339448,336506,2942,339448,1,0.9913589945011784,0.00864100549882168,1,0.9913329876741062,2942,0.008667012325893803
Presidencial segunda vuelta,HUANUCO,2341,2321,20,2341,656517,650972,5545,656517,1,0.9914566424604869,0.00854335753951303,1,0.9915539125414878,5545,0.008446087458512119
Presidencial segunda vuelta,ICA,2443,2421,22,2443,713997,707518,6479,713997,1,0.9909946786737618,0.009005321326238231,1,0.9909257321809476,6479,0.009074267819052462
Presidencial segunda vuelta,LA LIBERTAD,5302,5265,37,5302,1552691,1541846,10845,1552691,1,0.9930215013202565,0.006978498679743493,1,0.9930153520565264,10845,0.006984647943473621
Presidencial segunda vuelta,LAMBAYEQUE,3590,3577,13,3590,1051350,1047467,3883,1051350,1,0.9963788300835654,0.0036211699164345403,1,0.9963066533504542,3883,0.003693346649545822
Presidencial segunda vuelta,MADRE DE DIOS,507,502,5,507,147577,146182,1395,147577,1,0.9901380670611439,0.009861932938856016,1,0.9905473075072674,1395,0.009452692492732607
Presidencial segunda vuelta,MOQUEGUA,578,576,2,578,164628,164040,588,164628,1,0.9965397923875432,0.0034602076124567475,1,0.9964283111013922,588,0.00357168889860777
Presidencial segunda vuelta,PASCO,802,788,14,802,223695,219725,3970,223695,1,0.9825436408977556,0.017456359102244388,1,0.98225262075594,3970,0.01774737924405999
Presidencial segunda vuelta,PIURA,5281,5224,57,5281,1534085,1517297,16788,1534085,1,0.989206589661049,0.010793410338950956,1,0.9890566689590212,16788,0.010943331040978825
Presidencial segunda vuelta,PUNO,3397,3373,24,3397,963489,956536,6953,963489,1,0.9929349425964086,0.007065057403591404,1,0.9927835190645664,6953,0.007216480935433617
Presidencial segunda vuelta,SAN MARTIN,2534,2520,14,2534,723605,719611,3994,723605,1,0.994475138121547,0.0055248618784530384,1,0.9944804140380457,3994,0.005519585961954381
Presidencial segunda vuelta,TACNA,1041,1028,13,1041,302615,298756,3859,302615,1,0.9875120076849183,0.012487992315081652,1,0.9872478231416156,3859,0.012752176858384416
Presidencial segunda vuelta,TUMBES,632,630,2,632,181317,180727,590,181317,1,0.9968354430379747,0.0031645569620253164,1,0.9967460304328882,590,0.0032539695671117436
Presidencial segunda vuelta,JUNIN,3685,3653,32,3691,1060702,1051527,9175,1062500,0.9983744242752641,0.989704687076673,0.008669737198591168,0.9983077647058823,0.9896724705882353,10973,0.010327529411764706
Presidencial segunda vuelta,CAJAMARCA,4231,4206,25,4240,1196143,1189006,7137,1198773,0.997877358490566,0.9919811320754717,0.00589622641509434,0.9978060900604201,0.9918525025171572,9767,0.008147497482842873
Presidencial segunda vuelta,CALLAO,2874,2806,68,2898,851802,831875,19927,858968,0.9917184265010351,0.9682539682539683,0.023464458247066944,0.991657430777398,0.9684586620223338,27093,0.03154133797766622
Presidencial segunda vuelta,CUSCO,3942,3890,52,3983,1123083,1107910,15173,1133754,0.9897062515691689,0.9766507657544564,0.013055485814712529,0.9905879053127927,0.9772049315812777,25844,0.02279506841872223
Presidencial segunda vuelta,LIMA,31201,30171,1030,31790,9586922,9259709,327213,9861841,0.9814721610569361,0.9490720352312048,0.03240012582573136,0.9721229535134465,0.938943245992305,602132,0.06105675400769491
Presidencial segunda vuelta,LORETO,2622,2589,33,2697,756867,747250,9617,775923,0.9721913236929922,0.9599555061179088,0.012235817575083427,0.9754408620443008,0.9630465909632786,28673,0.036953409036721424
Presidencial segunda vuelta,UCAYALI,1501,1466,35,1564,435905,425734,10171,453928,0.9597186700767263,0.9373401534526854,0.02237851662404092,0.9602954653601452,0.9378888281842054,28194,0.06211117181579458
