eleccion,odpe,nombre_odpe,mesas_procesadas,mesas_contabilizadas,mesas_al_jee,electores_procesados,electores_contabilizados,electores_al_jee,mesas_totales,electores_totales,departameto,pct_mesas,pct_mesas_contabilizadas,pct_mesas_al_jee,pct_electores,pct_electores_contabilizados,electores_por_contabilizar,pct_electores_por_contabilizar
Presidencial segunda vuelta,BAGUA,BAGUA,763,762,1,211346,211116,230,763,211346,AMAZONAS,1,0.9986893840104849,0.001310615989515072,1,0.998911737151401,230,0.00108826284859898
Presidencial segunda vuelta,BONGARA,BONGARA,84,84,0,22182,22182,0,84,22182,AMAZONAS,1,1,0,1,1,0,0
Presidencial segunda vuelta,CHACHAPOYAS,CHACHAPOYAS,431,429,2,111717,111253,464,431,111717,AMAZONAS,1,0.9953596287703016,0.004640371229698376,1,0.995846648227217,464,0.004153351772783014
Presidencial segunda vuelta,HUARAZ,HUARAZ,605,598,7,170160,168276,1884,605,170160,ANCASH,1,0.9884297520661157,0.011570247933884297,1,0.9889280677009873,1884,0.011071932299012694
Presidencial segunda vuelta,HUARI,HUARI,456,446,10,123496,120630,2866,456,123496,ANCASH,1,0.9780701754385965,0.021929824561403508,1,0.9767927706160523,2866,0.023207229383947658
Presidencial segunda vuelta,HUARMEY,HUARMEY,267,262,5,74497,73131,1366,267,74497,ANCASH,1,0.9812734082397003,0.018726591760299626,1,0.9816636911553486,1366,0.018336308844651462
Presidencial segunda vuelta,HUAYLAS,HUAYLAS,365,364,1,100228,99932,296,365,100228,ANCASH,1,0.9972602739726028,0.0027397260273972603,1,0.9970467334477392,296,0.002953266552260845
Presidencial segunda vuelta,POMABAMBA,POMABAMBA,239,238,1,62614,62366,248,239,62614,ANCASH,1,0.99581589958159,0.0041841004184100415,1,0.9960392244545948,248,0.003960775545405181
Presidencial segunda vuelta,RECUAY,RECUAY,178,177,1,43924,43714,210,178,43924,ANCASH,1,0.9943820224719101,0.0056179775280898875,1,0.9952190146616884,210,0.004780985338311629
Presidencial segunda vuelta,SANTA,SANTA,1362,1342,20,396466,390607,5859,1362,396466,ANCASH,1,0.9853157121879589,0.014684287812041116,1,0.9852219358028179,5859,0.014778064197182104
Presidencial segunda vuelta,ABANCAY,ABANCAY,457,455,2,126491,125891,600,457,126491,APURIMAC,1,0.9956236323851203,0.00437636761487965,1,0.9952565795194915,600,0.004743420480508495
Presidencial segunda vuelta,ANDAHUAYLAS,ANDAHUAYLAS,609,603,6,168117,166613,1504,609,168117,APURIMAC,1,0.9901477832512315,0.009852216748768473,1,0.9910538494024994,1504,0.00894615059750055
Presidencial segunda vuelta,GRAU,GRAU,251,249,2,66730,66161,569,251,66730,APURIMAC,1,0.9920318725099602,0.00796812749003984,1,0.9914731005544732,569,0.00852689944552675
Presidencial segunda vuelta,AREQUIPA,AREQUIPA,1250,1248,2,369354,368779,575,1250,369354,AREQUIPA,1,0.9984,0.0016,1,0.9984432279060197,575,0.0015567720939803006
Presidencial segunda vuelta,CAMANA,CAMANA,298,293,5,84303,82814,1489,298,84303,AREQUIPA,1,0.9832214765100671,0.016778523489932886,1,0.98233752061018,1489,0.017662479389820053
Presidencial segunda vuelta,CAYLLOMA,CAYLLOMA,405,405,0,112683,112683,0,405,112683,AREQUIPA,1,1,0,1,1,0,0
Presidencial segunda vuelta,CERRO COLORADO,CERRO COLORADO,1325,1317,8,389574,387262,2312,1325,389574,AREQUIPA,1,0.9939622641509434,0.0060377358490566035,1,0.9940653123668417,2312,0.005934687633158271
Presidencial segunda vuelta,CONDESUYOS,CONDESUYOS,104,102,2,26773,26261,512,104,26773,AREQUIPA,1,0.9807692307692307,0.019230769230769232,1,0.9808762559294812,512,0.019123744070518808
Presidencial segunda vuelta,JOSE LUIS BUSTAMANTE Y RIVERO,JOSE LUIS BUSTAMANTE Y RIVERO,655,653,2,192429,191836,593,655,192429,AREQUIPA,1,0.9969465648854962,0.0030534351145038168,1,0.9969183439086624,593,0.003081656091337584
Presidencial segunda vuelta,MOLLENDO,MOLLENDO,178,171,7,51409,49412,1997,178,51409,AREQUIPA,1,0.9606741573033708,0.03932584269662921,1,0.9611546616351223,1997,0.038845338364877746
Presidencial segunda vuelta,CANGALLO,CANGALLO,263,263,0,67246,67246,0,263,67246,AYACUCHO,1,1,0,1,1,0,0
Presidencial segunda vuelta,HUAMANGA,HUAMANGA,864,853,11,245893,242797,3096,864,245893,AYACUCHO,1,0.9872685185185185,0.01273148148148148,1,0.9874091576417385,3096,0.01259084235826152
Presidencial segunda vuelta,HUANTA,HUANTA,504,501,3,138736,137856,880,504,138736,AYACUCHO,1,0.9940476190476191,0.005952380952380952,1,0.9936570176450237,880,0.006342982354976358
Presidencial segunda vuelta,LUCANAS,LUCANAS,158,157,1,40032,39960,72,158,40032,AYACUCHO,1,0.9936708860759493,0.006329113924050633,1,0.9982014388489209,72,0.0017985611510791368
Presidencial segunda vuelta,PARINACOCHAS,PARINACOCHAS,111,111,0,28331,28331,0,111,28331,AYACUCHO,1,1,0,1,1,0,0
Presidencial segunda vuelta,CAJAMARCA,CAJAMARCA,1673,1652,21,475182,469092,6090,1673,475182,CAJAMARCA,1,0.9874476987447699,0.012552301255230125,1,0.9871838579744182,6090,0.012816142025581777
Presidencial segunda vuelta,CHOTA,CHOTA,855,851,4,242214,241167,1047,855,242214,CAJAMARCA,1,0.9953216374269006,0.004678362573099415,1,0.9956773762045134,1047,0.004322623795486636
Presidencial segunda vuelta,CUTERVO,CUTERVO,381,381,0,107942,107942,0,381,107942,CAJAMARCA,1,1,0,1,1,0,0
Presidencial segunda vuelta,JAEN,JAEN,1006,1006,0,285439,285439,0,1015,288069,CAJAMARCA,0.9911330049261083,0.9911330049261083,0,0.9908702428931957,0.9908702428931957,2630,0.009129757106804273
Presidencial segunda vuelta,SAN PABLO,SAN PABLO,316,316,0,85366,85366,0,316,85366,CAJAMARCA,1,1,0,1,1,0,0
Presidencial segunda vuelta,BELLAVISTA,BELLAVISTA,585,569,16,171394,166758,4636,585,171394,CALLAO,1,0.9726495726495726,0.02735042735042735,1,0.9729512118277186,4636,0.02704878817228141
Presidencial segunda vuelta,CALLAO,CALLAO,1338,1310,28,399814,391464,8350,1338,399814,CALLAO,1,0.9790732436472347,0.02092675635276532,1,0.9791152886092033,8350,0.02088471139079672
Presidencial segunda vuelta,VENTANILLA,VENTANILLA,951,927,24,280594,273653,6941,975,287760,CALLAO,0.9753846153846154,0.9507692307692308,0.024615384615384615,0.9750973033083125,0.9509765082012789,14107,0.049023491798721154
Presidencial segunda vuelta,CANCHIS,CANCHIS,488,486,2,136211,135611,600,488,136211,CUSCO,1,0.9959016393442623,0.004098360655737705,1,0.9955950694143645,600,0.0044049305856355215
Presidencial segunda vuelta,CUSCO,CUSCO,1558,1534,24,452925,445778,7147,1558,452925,CUSCO,1,0.9845956354300385,0.01540436456996149,1,0.9842203455318209,7147,0.01577965446817906
Presidencial segunda vuelta,ESPINAR,ESPINAR,453,451,2,126237,125679,558,453,126237,CUSCO,1,0.9955849889624724,0.004415011037527594,1,0.9955797428646118,558,0.004420257135388198
Presidencial segunda vuelta,LA CONVENCION,LA CONVENCION,591,573,18,167801,162711,5090,632,178472,CUSCO,0.935126582278481,0.9066455696202531,0.028481012658227847,0.9402091084315747,0.9116892285624636,15761,0.08831077143753642
Presidencial segunda vuelta,QUISPICANCHI,QUISPICANCHI,420,417,3,117874,116996,878,420,117874,CUSCO,1,0.9928571428571429,0.007142857142857143,1,0.9925513684103364,878,0.007448631589663539
Presidencial segunda vuelta,URUBAMBA,URUBAMBA,432,429,3,122035,121135,900,432,122035,CUSCO,1,0.9930555555555556,0.006944444444444444,1,0.9926250665792601,900,0.007374933420739952
Presidencial segunda vuelta,ANGARAES,ANGARAES,304,301,3,80698,79901,797,304,80698,HUANCAVELICA,1,0.9901315789473685,0.009868421052631578,1,0.9901236709707799,797,0.009876329029220055
Presidencial segunda vuelta,HUANCAVELICA,HUANCAVELICA,384,381,3,105288,104403,885,384,105288,HUANCAVELICA,1,0.9921875,0.0078125,1,0.9915944837018463,885,0.008405516298153635
Presidencial segunda vuelta,HUAYTARA,HUAYTARA,153,152,1,38774,38475,299,153,38774,HUANCAVELICA,1,0.9934640522875817,0.006535947712418301,1,0.992288647031516,299,0.0077113529684840355
Presidencial segunda vuelta,TAYACAJA,TAYACAJA,432,428,4,114688,113727,961,432,114688,HUANCAVELICA,1,0.9907407407407407,0.009259259259259259,1,0.9916207449776786,961,0.008379255022321428
Presidencial segunda vuelta,HUAMALIES,HUAMALIES,348,348,0,93286,93286,0,348,93286,HUANUCO,1,1,0,1,1,0,0
Presidencial segunda vuelta,HUANUCO,HUANUCO,1198,1188,10,341493,338811,2682,1198,341493,HUANUCO,1,0.991652754590985,0.008347245409015025,1,0.9921462518997461,2682,0.007853748100253886
Presidencial segunda vuelta,LEONCIO PRADO,LEONCIO PRADO,483,478,5,136364,134948,1416,483,136364,HUANUCO,1,0.989648033126294,0.010351966873706004,1,0.9896160276905929,1416,0.010383972309407175
